"device","subject","run_id","energy_consumed","load_time"
"nexus5x","http1042018080apacheorgapacheorg3indexhtml",1,61.147656,241
"nexus5x","http1042018080apacheorgapacheorg3indexhtml",2,70.483176,272
"nexus5x","http1042018080apacheorgapacheorg3indexhtml",3,77.329224,278
"nexus5x","http1042018080apacheorgapacheorg3indexhtml",4,76.706856,263
"nexus5x","http1042018080apacheorgapacheorg3indexhtml",5,77.640408,236
"nexus5x","http1042018080wwwofficecomwwwofficecom2indexhtml",1,63.889128,365
"nexus5x","http1042018080wwwofficecomwwwofficecom2indexhtml",2,87.672672,255
"nexus5x","http1042018080wwwofficecomwwwofficecom2indexhtml",3,86.27364,266
"nexus5x","http1042018080wwwofficecomwwwofficecom2indexhtml",4,86.27364,261
"nexus5x","http1042018080wwwofficecomwwwofficecom2indexhtml",5,85.340952,252
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom1indexhtml",1,62.742816,424
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom1indexhtml",2,75.943656,382
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom1indexhtml",3,76.564872,1012
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom1indexhtml",4,76.564872,434
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom1indexhtml",5,77.807304,460
"nexus5x","http1042018080wwwbookingcomwwwbookingcom0indexhtml",1,63.755964,309
"nexus5x","http1042018080wwwbookingcomwwwbookingcom0indexhtml",2,75.23514,375
"nexus5x","http1042018080wwwbookingcomwwwbookingcom0indexhtml",3,81.284976,267
"nexus5x","http1042018080wwwbookingcomwwwbookingcom0indexhtml",4,55.379268,423
"nexus5x","http1042018080wwwbookingcomwwwbookingcom0indexhtml",5,77.872248,603
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us1indexhtml",1,63.55656,242
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us1indexhtml",2,76.73292,600
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us1indexhtml",3,77.197968,271
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us1indexhtml",4,75.95784,346
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us1indexhtml",5,77.042952,270
"nexus5x","http1042018080wwwbbccomwwwbbccom0indexhtml",1,63.491904,523
"nexus5x","http1042018080wwwbbccomwwwbbccom0indexhtml",2,76.159008,419
"nexus5x","http1042018080wwwbbccomwwwbbccom0indexhtml",3,71.467488,443
"nexus5x","http1042018080wwwbbccomwwwbbccom0indexhtml",4,77.41008,433
"nexus5x","http1042018080wwwbbccomwwwbbccom0indexhtml",5,78.348384,410
"nexus5x","http1042018080dsalipaycomdsalipaycom0indexhtml",1,68.508,223
"nexus5x","http1042018080dsalipaycomdsalipaycom0indexhtml",2,82.8324,264
"nexus5x","http1042018080dsalipaycomdsalipaycom0indexhtml",3,82.9881,268
"nexus5x","http1042018080dsalipaycomdsalipaycom0indexhtml",4,82.2096,210
"nexus5x","http1042018080dsalipaycomdsalipaycom0indexhtml",5,84.3894,287
