"","subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"553","officecom",66,76.7601,"3","9","42"
"554","officecom",73,75.5145,"3","9","42"
"555","officecom",105,76.6044,"3","9","42"
"111","buzzfeedcom",235,61.68204,"0","10","43"
"112","buzzfeedcom",154,74.54538,"0","10","43"
"113","buzzfeedcom",197,77.02506,"0","10","43"
"114","buzzfeedcom",240,74.54538,"0","10","43"
"115","buzzfeedcom",263,76.56012,"0","10","43"
"546","buzzfeedcom",6,64.489536,"0","10","43"
"547","buzzfeedcom",242,75.603024,"0","10","43"
"548","buzzfeedcom",147,71.376768,"0","10","43"
"549","buzzfeedcom",202,76.855248,"0","10","43"
"550","buzzfeedcom",156,77.637888,"0","10","43"
"291","buzzfeedcom",208,62.742816,"1","10","43"
"292","buzzfeedcom",175,75.943656,"1","10","43"
"293","buzzfeedcom",1,76.564872,"1","10","43"
"294","buzzfeedcom",217,76.564872,"1","10","43"
"295","buzzfeedcom",237,77.807304,"1","10","43"
"726","buzzfeedcom",212,62.21916,"1","10","43"
"727","buzzfeedcom",239,75.40776,"1","10","43"
"728","buzzfeedcom",179,76.8042,"1","10","43"
"729","buzzfeedcom",211,75.71808,"1","10","43"
"730","buzzfeedcom",302,76.64904,"1","10","43"
"151","buzzfeedcom",241,62.454672,"2","10","43"
"152","buzzfeedcom",263,77.168304,"2","10","43"
"153","buzzfeedcom",268,79.359696,"2","10","43"
"154","buzzfeedcom",192,74.037744,"2","10","43"
"155","buzzfeedcom",241,74.976912,"2","10","43"
"586","buzzfeedcom",229,62.9028,"2","10","43"
"587","buzzfeedcom",303,79.7184,"2","10","43"
"588","buzzfeedcom",287,76.4487,"2","10","43"
"589","buzzfeedcom",191,76.6044,"2","10","43"
"590","buzzfeedcom",312,77.0715,"2","10","43"
"186","buzzfeedcom",219,62.283816,"3","10","43"
"187","buzzfeedcom",298,76.524588,"3","10","43"
"188","buzzfeedcom",238,75.89862,"3","10","43"
"189","buzzfeedcom",188,75.585636,"3","10","43"
"190","buzzfeedcom",157,62.5968,"3","10","43"
"611","buzzfeedcom",256,64.906452,"3","10","43"
"612","buzzfeedcom",179,78.22854,"3","10","43"
"613","buzzfeedcom",206,76.67946,"3","10","43"
"614","buzzfeedcom",229,75.90492,"3","10","43"
"615","buzzfeedcom",187,77.299092,"3","10","43"
"96","nlgodaddycom",228,66.33018,"0","11","52"
"97","nlgodaddycom",275,81.39816,"0","11","52"
"98","nlgodaddycom",149,80.7768,"0","11","52"
"99","nlgodaddycom",272,77.82534,"0","11","52"
"100","nlgodaddycom",192,76.73796,"0","11","52"
"531","nlgodaddycom",105,67.991616,"0","11","52"
"532","nlgodaddycom",155,79.634016,"0","11","52"
"533","nlgodaddycom",115,79.94448,"0","11","52"
"534","nlgodaddycom",116,81.186336,"0","11","52"
"535","nlgodaddycom",141,78.39216,"0","11","52"
"416","nlgodaddycom",318,65.2383,"1","11","52"
"417","nlgodaddycom",141,79.2513,"1","11","52"
"418","nlgodaddycom",76,64.9269,"1","11","52"
"419","nlgodaddycom",109,88.2819,"1","11","52"
"420","nlgodaddycom",144,82.521,"1","11","52"
"831","nlgodaddycom",163,65.046996,"1","11","52"
"832","nlgodaddycom",150,77.370048,"1","11","52"
"833","nlgodaddycom",90,77.682024,"1","11","52"
"834","nlgodaddycom",198,80.957772,"1","11","52"
"835","nlgodaddycom",207,57.247596,"1","11","52"
"426","nlgodaddycom",185,65.25792,"2","11","52"
"427","nlgodaddycom",145,74.58048,"2","11","52"
"428","nlgodaddycom",327,82.038528,"2","11","52"
"429","nlgodaddycom",231,77.843376,"2","11","52"
"430","nlgodaddycom",78,80.484768,"2","11","52"
"841","nlgodaddycom",220,64.48104,"2","11","52"
"842","nlgodaddycom",246,76.600368,"2","11","52"
"843","nlgodaddycom",133,77.377248,"2","11","52"
"844","nlgodaddycom",145,72.405216,"2","11","52"
"845","nlgodaddycom",205,81.5724,"2","11","52"
"341","nlgodaddycom",213,65.428704,"3","11","52"
"342","nlgodaddycom",320,79.672752,"3","11","52"
"343","nlgodaddycom",108,79.359696,"3","11","52"
"344","nlgodaddycom",101,80.298864,"3","11","52"
